replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;demos inflicted;demos taken
3ec32e05-e04a-45d0-a9d3-7eee6a284742;2026-01-09.23.28 Seaak_ Ranked Doubles Loss;Neo Tokyo (Arcade);2026-01-09 22:28:16;win;August1j27 & RAPH-403;JawlessThrone420 & Seaak_;August1j27;4284;Fennec;756;3;0;3;3;9;4;3;100;392;40.92;2729;1853;876;23;78;493;218;275;3;25;58.02;35.85;285;373;90;1424;576837;247.63;55.69;159.71;35.92;37.3;8.39;272.64;61.32;155.87;35.06;16.13;3.63;7.38;0.15;49;219.1;48.91;193.6;43.21;89.01;20.02;355.63;79.98;89.01;20.02;307.35;69.12;137.3;30.88;241.06;54.21;132.95;29.9;70.63;15.88;2449;2573;2332;3171;1;1
3ec32e05-e04a-45d0-a9d3-7eee6a284742;2026-01-09.23.28 Seaak_ Ranked Doubles Loss;Neo Tokyo (Arcade);2026-01-09 22:28:16;win;August1j27 & RAPH-403;JawlessThrone420 & Seaak_;RAPH-403;23;Octane;721;2;2;2;7;9;4;1;28.57;455;49.02;3287;2629;658;33;62;514;394;120;5;11;72.02;72.98;484;721;109;1568;639348;194.39;43.57;161.87;36.28;89.86;20.14;233.83;52.41;197.22;44.21;15.07;3.38;5.55;0.14;39;195;43.53;218.7;48.82;116.08;26.02;330.03;73.98;116.08;26.02;295.19;66.17;150.92;33.83;221.59;49.67;137.52;30.83;87;19.5;2606;2330;2864;3171;3;0
3ec32e05-e04a-45d0-a9d3-7eee6a284742;2026-01-09.23.28 Seaak_ Ranked Doubles Loss;Neo Tokyo (Arcade);2026-01-09 22:28:16;loss;JawlessThrone420 & Seaak_;August1j27 & RAPH-403;JawlessThrone420;4284;Fennec;390;1;1;0;3;10;5;3;33.33;335;53.85;2515;1864;651;24;59;504;288;216;4;19;14.2;51.18;179;562;111;1464;592887;222.01;50.12;178.61;40.32;42.36;9.56;248.39;56.07;184.26;41.6;10.33;2.33;5.93;0.15;40;204.6;45.67;218.6;48.79;120.75;27.26;322.23;72.74;120.75;27.26;281.44;63.53;161.54;36.47;192.57;43.47;160.77;36.29;89.65;20.24;2459;2490;2401;3153;1;1
3ec32e05-e04a-45d0-a9d3-7eee6a284742;2026-01-09.23.28 Seaak_ Ranked Doubles Loss;Neo Tokyo (Arcade);2026-01-09 22:28:16;loss;JawlessThrone420 & Seaak_;August1j27 & RAPH-403;Seaak_;4284;Fennec;848;3;1;2;6;10;5;2;50;373;43.97;2724;1908;816;21;75;756;558;198;6;18;71.47;28.82;168;167;41;1460;574978;212.13;49.12;181.77;42.09;37.92;8.78;272.97;63.21;148.15;34.31;10.7;2.48;6.34;0.15;43;216.8;48.39;198.2;44.24;120.11;27.81;311.71;72.19;120.11;27.81;289.4;67.02;142.42;32.98;210.68;48.79;125.57;29.08;95.57;22.13;2857;2741;2988;3153;0;3
51045c92-a7e3-48a4-884f-256163f6c74d;2026-02-23.01.13 xRK7x Ranked Doubles Win;Farmstead (Pitched);2026-02-22 22:13:25;loss;RAPH-402 & Shoy0_9o;xRK7x & V!;RAPH-402;4284;Fennec;435;1;1;2;5;10;6;3;20;463;50.84;2304;1726;578;22;45;248;170;78;2;7;42.36;29.61;342;492;35;1578;414524;135.62;46.32;93;31.77;64.14;21.91;176.78;60.38;114.12;38.98;1.86;0.64;2.9;0.1;28;167.3;55.95;105.1;35.15;80.86;27.62;211.9;72.38;80.86;27.62;215.61;73.65;77.15;26.35;167.19;57.11;81.05;27.68;44.52;15.21;2917;2857;2853;3399;0;2
51045c92-a7e3-48a4-884f-256163f6c74d;2026-02-23.01.13 xRK7x Ranked Doubles Win;Farmstead (Pitched);2026-02-22 22:13:25;loss;RAPH-402 & Shoy0_9o;xRK7x & V!;Shoy0_9o;4284;Fennec;260;1;0;0;4;10;6;3;25;470;49.76;2243;1840;403;21;38;704;532;172;6;16;37.74;30.78;129;273;67;1578;412355;129.23;43.97;116.55;39.66;48.12;16.37;155.32;52.85;123.29;41.95;15.29;5.2;3.6;0.08;45;109.3;36.56;164.3;54.95;106.56;36.26;187.34;63.74;106.56;36.26;179.08;60.93;114.82;39.07;129.14;43.94;85.94;29.24;78.83;26.82;2168;2065;2235;3399;0;1
51045c92-a7e3-48a4-884f-256163f6c74d;2026-02-23.01.13 xRK7x Ranked Doubles Win;Farmstead (Pitched);2026-02-22 22:13:25;win;xRK7x & V!;RAPH-402 & Shoy0_9o;V!;4284;Fennec;848;4;0;5;5;9;2;2;80;379;54.09;1925;1464;461;18;42;620;460;160;5;15;18.68;29.19;254;361;50;1563;419798;128.18;42.89;120.47;40.31;50.18;16.79;164.29;54.98;122.02;40.83;12.53;4.19;5;0.11;47;155.9;52.14;114.5;38.29;42.33;14.16;256.51;85.84;42.33;14.16;194.98;65.25;103.86;34.75;136.48;45.67;105.18;35.2;57.17;19.13;2445;2257;2556;2683;1;0
51045c92-a7e3-48a4-884f-256163f6c74d;2026-02-23.01.13 xRK7x Ranked Doubles Win;Farmstead (Pitched);2026-02-22 22:13:25;win;xRK7x & V!;RAPH-402 & Shoy0_9o;xRK7x;23;Octane;601;2;2;1;5;9;2;0;40;431;41.64;2052;1394;658;16;61;611;390;221;4;19;24.95;28.72;146;166;12;1596;422273;126.09;42.44;122.69;41.29;48.35;16.27;176.93;59.55;105.47;35.5;14.72;4.95;4.48;0.13;35;113.3;37.89;156.6;52.37;63.15;21.25;233.98;78.75;63.15;21.25;176.97;59.56;120.15;40.44;128.1;43.11;94.85;31.92;74.17;24.96;2052;2168;1902;2683;2;0
